ITEM,CAL,FAT,SFAT,TFAT,CHOL,SALT,CARB,FBR,SGR,PRO,CATEGORY
Signature Sriracha Buttermilk Crispy Chicken on Artisan Roll,760,36,9,0.5,85,1430,75,5,13,34,SIGNATURE
Pico Guacamole Buttermilk Crispy Chicken on Sesame Seed Bun,630,32,7,0,80,1340,59,5,7,29,SIGNATURE
Signature Sriracha Artisan Grilled Chicken on Artisan Roll,590,22,7,0,125,1390,56,3,14,43,SIGNATURE
Pico Guacamole Buttermilk Crispy Chicken on Artisan Roll,720,34,9,0,85,1380,69,6,11,33,SIGNATURE
Sweet BBQ Bacon Buttermilk Crispy Chicken on Texas Toast,800,36,9,0,95,1850,80,5,17,39,SIGNATURE
Pico Guacamole Artisan Grilled Chicken on Texas Toast,510,17,5,0,115,1570,49,4,10,40,SIGNATURE
Sweet BBQ Bacon Burger on Texas Toast,740,38,14,1.5,110,1430,61,3,16,40,SIGNATURE
Sweet BBQ Bacon Artisan Grilled Chicken on Texas Toast,640,22,7,0,135,1970,61,3,17,48,SIGNATURE
Pico Guacamole Buttermilk Crispy Chicken on Texas Toast,680,31,7,0,80,1460,68,5,10,31,SIGNATURE
Buffalo Bacon Burger on Artisan Roll,620,33,13,1.5,105,1170,46,3,11,37,SIGNATURE
Swiss Mushroom Melt Burger on Artisan Roll,620,33,17,1.5,115,570,47,3,11,36,SIGNATURE
Buffalo Bacon Artisan Grilled Chicken on Artisan Roll,520,17,5,0,125,1710,45,3,11,45,SIGNATURE
Swiss Mushroom Melt Buttermilk Crispy Chicken on Artisan Roll,700,32,12,0.5,105,1120,66,5,11,37,SIGNATURE
Swiss Mushroom Melt Artisan Grilled on Artisan Roll,540,19,10,0.5,140,1240,47,3,12,46,SIGNATURE
Buffalo Bacon Buttermilk Crispy Chicken on Artisan Roll,680,31,7,0,90,1600,64,4,11,36,SIGNATURE
Garlic White Cheddar Double Burger on Artisan Roll,920,55,23,3,185,1130,49,3,11,57,SIGNATURE
Garlic White Cheddar Artisan Grilled Chicken on Texas Toast,530,19,6,0,125,1170,47,3,10,42,SIGNATURE
Garlic White Cheddar Buttermilk Crispy Chicken on Texas Toast,690,33,8,0,85,1220,66,4,10,33,SIGNATURE
Garlic White Cheddar Burger on Texas Toast,610,33,13,1.5,95,820,47,3,10,31,SIGNATURE
Garlic White Cheddar Buttermilk Crispy Chicken on Artisan Roll,700,34,9,0,85,1190,67,5,11,33,SIGNATURE
Garlic White Cheddar Burger on Artisan Roll,640,35,14,1.5,100,760,49,3,11,33,SIGNATURE
Garlic White Cheddar Artisan Grilled Chicken on Artisan Roll,530,180,30,33,125,41,48,16,13,42,SIGNATURE
Sausage Egg & Cheese McGriddles,550,32,13,0,220,1290,45,2,15,20,MCPICK2B
Filet-O-Fish,390,19,4,0,45,560,38,2,5,17,MCPICK2B
Big Mac,540,28,10,1,80,950,45,3,9,25,MCPICK2B
Chicken McNuggets (10 piece),440,240,41,22,75,25,35,9,7,24,MCPICK2B
Sausage Egg & Cheese McGriddles,550,32,13,0,220,1290,45,2,15,20,MCPICK2C
Filet-O-Fish,390,19,4,0,45,560,38,2,5,17,MCPICK2C
Big Mac,540,28,10,1,80,950,45,3,9,25,MCPICK2C
Chicken McNuggets (10 piece),440,27,4.5,0,75,840,26,2,0,24,MCPICK2C
